Somaliland,Hargeisa,9.55,44.05,NULL,Africa,
Western Sahara,El-Aaiún,27.153611,-13.203333,EH,Africa,EH
Algeria,Algiers,36.75,3.05,DZ,Africa,DZ
Angola,Luanda,-8.83333333333333,13.216667,AO,Africa,AO
Benin,Porto-Novo,6.48333333333333,2.616667,BJ,Africa,BJ
Botswana,Gaborone,-24.6333333333333,25.9,BW,Africa,BW
Burkina Faso,Ouagadougou,12.3666666666667,-1.516667,BF,Africa,BF
Burundi,Bujumbura,-3.36666666666667,29.35,BI,Africa,BI
Cameroon,Yaounde,3.86666666666667,11.516667,CM,Africa,CM
Cape Verde,Praia,14.9166666666667,-23.516667,CV,Africa,CV
Central African Republic,Bangui,4.36666666666667,18.583333,CF,Africa,CF
Chad,N'Djamena,12.1,15.033333,TD,Africa,TD
Comoros,Moroni,-11.7,43.233333,KM,Africa,KM
Democratic Republic of the Congo,Kinshasa,-4.31666666666667,15.3,CD,Africa,CD
Republic of Congo,Brazzaville,-4.25,15.283333,CG,Africa,CG
Cote d'Ivoire,Yamoussoukro,6.81666666666667,-5.266667,CI,Africa,CI
Djibouti,Djibouti,11.5833333333333,43.15,DJ,Africa,DJ
Egypt,Cairo,30.05,31.25,EG,Africa,EG
Equatorial Guinea,Malabo,3.75,8.783333,GQ,Africa,GQ
Eritrea,Asmara,15.3333333333333,38.933333,ER,Africa,ER
Ethiopia,Addis Ababa,9.03333333333333,38.7,ET,Africa,ET
Gabon,Libreville,0.383333333333333,9.45,GA,Africa,GA
The Gambia,Banjul,13.45,-16.566667,GM,Africa,GM
Ghana,Accra,5.55,-0.216667,GH,Africa,GH
Guinea,Conakry,9.5,-13.7,GN,Africa,GN
Guinea-Bissau,Bissau,11.85,-15.583333,GW,Africa,GW
Kenya,Nairobi,-1.28333333333333,36.816667,KE,Africa,KE
Lesotho,Maseru,-29.3166666666667,27.483333,LS,Africa,LS
Liberia,Monrovia,6.3,-10.8,LR,Africa,LR
Libya,Tripoli,32.8833333333333,13.166667,LY,Africa,LY
Madagascar,Antananarivo,-18.9166666666667,47.516667,MG,Africa,MG
Malawi,Lilongwe,-13.9666666666667,33.783333,MW,Africa,MW
Mali,Bamako,12.65,-8,ML,Africa,ML
Mauritania,Nouakchott,18.0666666666667,-15.966667,MR,Africa,MR
Mauritius,Port Louis,-20.15,57.483333,MU,Africa,MU
Morocco,Rabat,34.0166666666667,-6.816667,MA,Africa,MA
Mozambique,Maputo,-25.95,32.583333,MZ,Africa,MZ
Namibia,Windhoek,-22.5666666666667,17.083333,NA,Africa,NA
Niger,Niamey,13.5166666666667,2.116667,NE,Africa,NE
Nigeria,Abuja,9.08333333333333,7.533333,NG,Africa,NG
Rwanda,Kigali,-1.95,30.05,RW,Africa,RW
Saint Helena,Jamestown,-15.9333333333333,-5.716667,SH,Africa,SH
Sao Tome and Principe,Sao Tome,0.333333333333333,6.733333,ST,Africa,ST
Senegal,Dakar,14.7333333333333,-17.633333,SN,Africa,SN
Seychelles,Victoria,-4.61666666666667,55.45,SC,Africa,SC
Sierra Leone,Freetown,8.48333333333333,-13.233333,SL,Africa,SL
Somalia,Mogadishu,2.06666666666667,45.333333,SO,Africa,SO
South Africa,Pretoria,-25.7,28.216667,ZA,Africa,ZA
South Sudan,Juba,4.85,31.616667,SS,Africa,SS
Sudan,Khartoum,15.6,32.533333,SD,Africa,SD
Swaziland,Mbabane,-26.3166666666667,31.133333,SZ,Africa,SZ
Tanzania,Dar es Salaam,-6.8,39.283333,TZ,Africa,TZ
Togo,Lome,6.11666666666667,1.216667,TG,Africa,TG
Tunisia,Tunis,36.8,10.183333,TN,Africa,TN
Uganda,Kampala,0.316666666666667,32.55,UG,Africa,UG
Zambia,Lusaka,-15.4166666666667,28.283333,ZM,Africa,ZM
Zimbabwe,Harare,-17.8166666666667,31.033333,ZW,Africa,ZW
British Indian Ocean Territory,Diego Garcia,-7.3,72.4,IO,Africa,IO
